date,favorites,geo,hashtags,mentions,permalink,retweets,term,text,tweet_id,username
2017-11-01 21:47:12,0,,#,,https://twitter.com/TeeOhEmm/status/925902078257479680,0,@LACity,So sorry for your loss # hr4hr,925902078257479680,
2017-11-01 21:46:27,3,,,,https://twitter.com/julesriss/status/925901887408238592,0,@LACity,Forgot one!pic.twitter.com/jOUWfAOMCh,925901887408238592,
2017-11-01 21:43:33,2,,,@ @,https://twitter.com/JamesAlva/status/925901157498634240,0,@LACity,@ Drlindalopez @ JamesAlva great day to plan expanding financial coaching services to other Mexican Consulates in the U.S.,925901157498634240,
2017-11-01 21:42:12,1,,,,https://twitter.com/williamkdo213/status/925900819286802432,0,@LACity,Go Dodgers,925900819286802432,
2017-11-01 21:41:55,1,,,,https://twitter.com/paulandangeb/status/925900749686628352,0,@LACity,I believe!!! Come on guys you got this!,925900749686628352,
2017-11-01 21:41:50,0,,,,https://twitter.com/cm_suter/status/925900726391525376,0,@LACity,Garcetti for prez.,925900726391525376,
2017-11-01 21:41:07,0,,#,,https://twitter.com/KunJosef/status/925900545570820096,0,@LACity,# DabOnTheHaters,925900545570820096,
2017-11-01 21:37:22,0,,,,https://twitter.com/jander_iglesias/status/925899601349173248,0,@LACity,"Dave Roberts doesn't know how to coach at all..im sorry,",925899601349173248,
2017-11-01 21:36:39,0,,#,,https://twitter.com/heyholly16/status/925899422562521088,0,@LACity,Why am I crying? Let’s go # thisteam,925899422562521088,
2017-11-01 21:34:22,0,,,,https://twitter.com/SilvestroRobert/status/925898849905987584,0,@LACity,What about all the rapist,925898849905987584,
2017-11-01 21:33:05,0,,,,https://twitter.com/d18_diaz/status/925898523610046464,0,@LACity,Thank you. Now hopefully we can get our bats lit up!!,925898523610046464,
2017-11-01 21:33:00,0,,,,https://twitter.com/kryptonic05/status/925898503166947328,0,@LACity,Now let’s come back!!!,925898503166947328,
2017-11-01 21:30:58,0,,,,https://twitter.com/LDRFOLLOWED/status/925897994028834816,0,@LACity,Too bad Darvish pitched tonight,925897994028834816,
2017-11-01 21:30:47,0,,,,https://twitter.com/muyamiable57/status/925897945458847744,0,@LACity,"Should never have started Darvish, Astros hit him hard when he was with Rangers. Tommy John surgery did him no favors. Mentally not strong",925897945458847744,
2017-11-01 21:30:40,0,,,,https://twitter.com/fe2psh/status/925897917763743745,0,@LACity,Fxxx Darvich get out!,925897917763743745,
2017-11-01 21:30:32,0,,,,https://twitter.com/ChimpSmack/status/925897882804219904,0,@LACity,What does baseball have to do with autism?,925897882804219904,
2017-11-01 21:29:16,0,,,,https://twitter.com/j_nocella/status/925897564527894528,0,@LACity,Thank you for jinxing them. lol,925897564527894528,
2017-11-01 21:28:53,0,,,,https://twitter.com/mhancock70/status/925897468222504960,0,@LACity,A little late bro,925897468222504960,
