,0,1,2,predOp
831,in,IN,O,O
832,one,CD,O,O
833,hand,NN,O,B-noun.body
834,and,CC,O,O
835,defend,VB,O,B-verb.social
836,it,PRP,O,O
837,over,IN,O,O
838,everybody,NN,O,B-noun.person
839,and…,JJ,O,O
840,https,NN,O,B-noun.communication
841,:,:,O,O
842,//www,NN,O,B-noun.communication
843,.,.,O,O
844,instagram.com/p/Ba5CjahB7WJ/,NN,O,B-noun.cognition
845,Official,NNP,O,B-noun.person
846,“,VBD,O,B-verb.possession
847,88,CD,O,O
848,Verses,NNS,O,B-noun.time
849,”,JJ,O,O
850,Music,NNP,O,B-noun.communication
851,Video,NNP,O,I-noun.communication
852,OUT,NNP,O,B-noun.communication
853,NOW,NNP,O,I-noun.communication
854,@,NNP,O,I-noun.communication
855,kyno903,NNP,O,I-noun.communication
856,x,NNP,O,I-noun.communication
857,@,NNP,O,I-noun.communication
858,RBpaperso_o,NNP,O,I-noun.communication
859,#,#,O,O
860,youtube,RB,O,O
861,#,#,O,O
862,88vereses,CD,O,O
863,#,#,O,O
864,kyno,NN,O,B-noun.person
865,…,JJ,O,O
866,https,NN,O,B-noun.communication
867,:,:,O,O
868,//www,NN,O,B-noun.communication
869,.,.,O,O
870,instagram.com/p/Ba5CjCBFx_5/,NN,O,B-noun.cognition
871,Some,DT,O,O
872,of,IN,O,O
873,the,DT,O,O
874,contents,NNS,O,B-noun.artifact
875,in,IN,O,O
876,the,DT,O,O
877,@,NNP,O,B-noun.person
878,TheNickBox,NNP,O,I-noun.person
879,I,PRP,O,O
880,love,VBP,O,B-verb.emotion
881,them,PRP,O,O
882,!,.,O,O
