username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
rothniven;2018-03-17 22:17;0;0;"Griffith Observatory #la #lax #griffithobservatory #griffithpark https:// flic.kr/p/24bQiXy";;;#la #lax #griffithobservatory #griffithpark;"975239807902171136";https://twitter.com/rothniven/status/975239807902171136
drizzydino;2018-03-17 22:03;0;5;"pulled up to the griffith observatory takin’ pictures like a tourist w a polaroid camera and everyone else had nice nikons and canons lmao pic.twitter.com/xOOwoPSVcT";;;;"975236168445960193";https://twitter.com/drizzydino/status/975236168445960193
kay_Army133;2018-03-17 21:56;0;0;"Gostei de um vídeo @YouTube http:// youtu.be/lTnRocc3gFs?aN ow … United || Hike Griffith Observatory";;@YouTube;;"975234435384659968";https://twitter.com/kay_Army133/status/975234435384659968
weso0015;2018-03-17 21:23;0;0;"Griffith Observatory en Griffith Observatory https://www. instagram.com/p/Bgc3ZTRlFqw5 USQdGlFxS0dDyZR6UlBbWSp-GE0/ …";;;;"975226217216360448";https://twitter.com/weso0015/status/975226217216360448
shoko_oda;2018-03-17 21:20;1;9;"Always a lovely time up at Griffith Observatory . Tomorrow, we run LA (literally). pic.twitter.com/Bp282mkZIg";;;;"975225301599797248";https://twitter.com/shoko_oda/status/975225301599797248
LAHotelDowntown;2018-03-17 19:30;0;0;"When you visit #Hollywood , you can learn not only about your favorite celebrities but you can also enjoy a different kind of star at the @GriffithObserv ! Learn about this popular attraction here: http:// bit.ly/2wUuOLA . . #vacation #tourist #griffithobservatory #travel pic.twitter.com/MC2lCAznej";;@GriffithObserv;#Hollywood #vacation #tourist #griffithobservatory #travel;"975197636809674752";https://twitter.com/LAHotelDowntown/status/975197636809674752
Miuna_RBH;2018-03-17 19:21;0;0;"I'm at Griffith Observatory - @griffithobserv in Los Angeles, CA https://www. swarmapp.com/c/8xZAL5hhmxW";;@griffithobserv;;"975195424406503424";https://twitter.com/Miuna_RBH/status/975195424406503424
fashionbyjhake;2018-03-17 19:15;0;0;"Griffith Observatory #photography . . . #stylish #stylist #styleblogger #blog #blogs #blogger … https://www. instagram.com/p/BgcovhwlBJF/";;;#photography #stylish #stylist #styleblogger #blog #blogs #blogger;"975194009776939008";https://twitter.com/fashionbyjhake/status/975194009776939008
ArezCobain;2018-03-17 18:44;0;2;"Just saw Griffith Observatory on tv, n now I'm missing it. Use to go there anytime I needed to clear my mind";;;;"975186220002234368";https://twitter.com/ArezCobain/status/975186220002234368
naeemahliggins;2018-03-17 18:23;0;0;"Perfect day for the scenery at #GriffithObservatory – bei Griffith Observatory";;;#GriffithObservatory;"975180843344838656";https://twitter.com/naeemahliggins/status/975180843344838656
karenkavett;2018-03-17 18:18;0;6;"We didn’t even mean to go to the Griffith Observatory today but we took a wrong turn on the the trail and that’s where we ended up And in the four years I’ve lived in LA, it’s the first time I’d ever been there http:// ift.tt/2pnsDuz pic.twitter.com/riH41hwwGw";;;;"975179637117636609";https://twitter.com/karenkavett/status/975179637117636609
TaneileLaFaye;2018-03-17 18:09;0;0;"Has arrived @Griffith Observatory https://www. instagram.com/p/BgchLb-gZWT/";;@Griffith;;"975177363465101312";https://twitter.com/TaneileLaFaye/status/975177363465101312
VestedCrowd;2018-03-17 17:56;0;0;"The Hollywood sign, the Griffith observatory , the church of Scientology, dish network, my feet,… https://www. instagram.com/p/BgcfpVrH4Qb/";;;;"975173991945162753";https://twitter.com/VestedCrowd/status/975173991945162753
AiJustTweet;2018-03-17 17:36;0;1;"Disneyland Griffith Observatory Hollywood Walk of Fame City Walk Universal Studios That concludes our 2-day LA trip/////reunion with the fam.";;;;"975169001511776256";https://twitter.com/AiJustTweet/status/975169001511776256
bmoney_tmt;2018-03-17 17:26;0;0;"G R I F F I T H V I E W S @Griffith Observatory https://www. instagram.com/p/BgccOXBgStQ/";;@Griffith;;"975166488180076545";https://twitter.com/bmoney_tmt/status/975166488180076545
