username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
josefgrios;2017-10-30 14:04;0;0;"Happy Birthday gavinrossdale keep rocking this world! #gavinrossdale #bush #live #birhday … https://www. instagram.com/p/Ba4vMmrltaI/";;;#gavinrossdale #bush #live #birhday;"925106279927959552";https://twitter.com/josefgrios/status/925106279927959552
Jmoe_Graphic;2017-10-30 14:04;0;0;"New @iitsad on the way! #Blue89C2 @Compton, California https://www. instagram.com/p/Ba4vYLTnqvj/";;@iitsad @Compton;#Blue89C2;"925106222247956480";https://twitter.com/Jmoe_Graphic/status/925106222247956480
Twinkie_Byrd;2017-10-30 14:04;0;2;"Yessssss!! Embrace the NOW! @Nail Garden https://www. instagram.com/p/Ba4vcmWFPx5/";;@Nail;;"925106190278897665";https://twitter.com/Twinkie_Byrd/status/925106190278897665
JeffBoyes;2017-10-30 14:04;0;2;"Part of a new print I’m working on for Crazy for Cult! My first C4C in a while. #gallery1988 … https://www. instagram.com/p/Ba4va6dBzq2/";;;#gallery1988;"925106143164112896";https://twitter.com/JeffBoyes/status/925106143164112896
Ernie_Back;2017-10-30 14:04;0;1;"#Bert #puppy #WeHoDogs @Kings Road Park https://www. instagram.com/p/Ba4vY9VFy4L/";;@Kings;#Bert #puppy #WeHoDogs;"925106059437473794";https://twitter.com/Ernie_Back/status/925106059437473794
StMartinofTours;2017-10-30 14:03;0;0;"Coat Drive ~ Committee For the Poor https://www. saintmartinoftours.com/news-and-event s/2017/11/12/coat-drive-committee-for-the-poor …";;;;"925106012603998208";https://twitter.com/StMartinofTours/status/925106012603998208
ceejopolis;2017-10-30 14:03;0;0;"Throwback Monday to the wedding on Saturday. I definitely got the hottest chick there.… https://www. instagram.com/p/Ba4vWp9HLVr/";;;;"925105987345899520";https://twitter.com/ceejopolis/status/925105987345899520
katherine_sszoo;2017-10-30 14:03;0;0;"日本マーケットその2 (@Marukai Market in Gardena, CA) https://www. swarmapp.com/c/fgzn5U8X1Lm";;@Marukai;;"925105979217375233";https://twitter.com/katherine_sszoo/status/925105979217375233
_MjolnirsMight;2017-10-30 14:03;0;0;"Always beer, never tea. #Thor #cosplay #Marvel #ThorRagnarok #Thorcosplay #cosplayer … https://www. instagram.com/p/Ba4vUcZB2e2/";;;#Thor #cosplay #Marvel #ThorRagnarok #Thorcosplay #cosplayer;"925105937760780289";https://twitter.com/_MjolnirsMight/status/925105937760780289
patttygiron;2017-10-30 14:03;0;0;"WTF LMAO";;;;"925105877106835456";https://twitter.com/patttygiron/status/925105877106835456
jcchesler;2017-10-30 14:02;1;1;"We’re almost to the opening of the #Tattoo exhibit I’ve been working on with @nhmla & dozens of… https://www. instagram.com/p/Ba4vEJCjavI/";;@nhmla;#Tattoo;"925105727399776256";https://twitter.com/jcchesler/status/925105727399776256
TWWilde;2017-10-30 14:02;0;0;"Only one more show with the twiddlemusic boys and it's been an absolute blast. Amazing band,… https://www. instagram.com/p/Ba4vO5CjZOK/";;;;"925105725059293184";https://twitter.com/TWWilde/status/925105725059293184
DavidPuckArtist;2017-10-30 14:02;0;0;"@missmayim Mayim Bialik with my painting of her! She liked the painting so much she ended up… https://www. instagram.com/p/Ba4vOjRgU6j/";;@missmayim;;"925105713118105600";https://twitter.com/DavidPuckArtist/status/925105713118105600
GunsNRosesNo1;2017-10-30 14:02;1;1;"Watch The Rock lip-syncing to Welcome To The Jungle - http:// TeamRock.com http:// j.mp/2yYJbiq pic.twitter.com/MnpjKA0I7o";;;;"925105672835948544";https://twitter.com/GunsNRosesNo1/status/925105672835948544
mister_sammy_v;2017-10-30 14:02;0;0;"I'm at CONAN - @teamcoco in Burbank, CA w/ @michaeldecr https://www. swarmapp.com/c/0Y8qszK13Ok";;@teamcoco @michaeldecr;;"925105532591099905";https://twitter.com/mister_sammy_v/status/925105532591099905
kevinlaferriere;2017-10-30 14:01;0;1;"#Repost committedsketch (get_repost) ・・・ Tonight we do this! Great line up hosted by… https://www. instagram.com/p/Ba4vAXagoql/";;;#Repost;"925105518888095744";https://twitter.com/kevinlaferriere/status/925105518888095744
RoczaneEnriquez;2017-10-30 14:01;0;0;"She got bit big time. But... her smokey cat eyeshadow is still on fleek tho! #halloweenmakeup … https://www. instagram.com/p/Ba2eoSgAPtP/";;;#halloweenmakeup;"925105511086694400";https://twitter.com/RoczaneEnriquez/status/925105511086694400
gina_badone;2017-10-30 14:01;0;6;"When you are in @tom_bergeron post!! So wonderful to have this opportunity to choreograph for… https://www. instagram.com/p/Ba4vH1xHb8S/";;@tom_bergeron;;"925105489544822784";https://twitter.com/gina_badone/status/925105489544822784
jeremybraver;2017-10-30 14:01;0;0;"One of the creative centers of our modern society. Honored to be here as it feels so rich and… https://www. instagram.com/p/Ba4vGqMHEVw/";;;;"925105445278224384";https://twitter.com/jeremybraver/status/925105445278224384
mister_sammy_v;2017-10-30 14:01;0;0;"I'm at Warner Bros. Studios - @warnerbrosent in Burbank, CA https://www. swarmapp.com/c/6CQ1i1zDOJb";;@warnerbrosent;;"925105439548768257";https://twitter.com/mister_sammy_v/status/925105439548768257
er7879;2017-10-30 14:01;0;0;"E.R. Ruiz #halloween #scary #happyhalloween #horror #horrornights #frightfest #frightnight … https://www. instagram.com/p/Ba4vFJ2jpiQ/";;;#halloween #scary #happyhalloween #horror #horrornights #frightfest #frightnight;"925105428823908352";https://twitter.com/er7879/status/925105428823908352
